cluster,sg_putt,sg_arg,sg_app,sg_ott
0,-0.08821652917576862,0.11815705586054541,-0.11227872457964888,-0.5874809775201523
1,0.15156537940240913,-0.11104700634515041,-0.5345676491986616,-0.21580881579630543
2,-0.3450697481927528,-0.16147884060929965,-0.39497939881840055,0.11869686699045343
3,-0.01604218374501307,0.03659107419436391,0.3095409692350737,0.39978741789567185
4,-0.4526687458809727,-0.060762333441193646,0.15744247490886656,0.08891059192320618
5,-0.36856431046985977,-0.39193408897431153,-0.4380217243505967,-0.32607885916682766
6,-0.4684582907731184,-0.08084964945824266,-1.1192397887973962,-0.8034534440081725
7,-0.012233972850174725,-0.012685587848395035,-0.05337271591785534,-0.07303913151077651
