player id,top_ten_finishes,avg_sg_putt,avg_sg_arg,avg_sg_app,avg_sg_ott,avg_sg_t2g,avg_sg_total
3448,70,0.1635185185185185,0.05305555555555555,0.41962962962962963,0.7305555555555556,1.2037037037037037,1.3597222222222223
4848,68,-0.029224806201550397,0.2582170542635659,0.6465116279069768,0.28713178294573644,1.1923255813953488,1.1729457364341085
5467,62,0.24174603174603174,0.2966666666666667,0.3085714285714286,0.061349206349206355,0.6673015873015873,0.910873015873016
3470,58,-0.042682926829268296,0.19585365853658535,0.4320731707317073,0.8978048780487805,1.5251219512195122,1.4821951219512195
9780,58,0.2490217391304348,0.1366304347826087,0.37010869565217386,0.8384782608695652,1.3454347826086956,1.5942391304347825
5579,50,0.37625000000000003,0.2676470588235294,-0.016029411764705886,0.07279411764705883,0.3241176470588235,0.6958823529411765
2230,50,-0.12355704697986578,0.10785234899328859,0.2902013422818792,0.42395973154362415,0.8220805369127516,0.7026845637583893
5860,48,-0.2588888888888889,0.19444444444444445,0.6812698412698412,0.32103174603174606,1.1976190476190476,0.939047619047619
6798,47,0.13846846846846847,0.027927927927927927,0.13594594594594592,0.49495495495495495,0.6594594594594595,0.7972072072072072
3702,46,0.11438016528925621,0.25,0.09743801652892563,0.14909090909090908,0.49603305785123963,0.6439669421487604
569,46,0.1198888888888889,0.11533333333333334,0.2401111111111111,0.24444444444444444,0.5997777777777777,0.7652222222222222
1614,44,0.07677685950413222,0.3372727272727273,0.49867768595041323,0.045454545454545456,0.8803305785123967,0.9490909090909091
1680,43,0.31424528301886795,0.3036792452830189,-0.026132075471698112,0.28867924528301886,0.5665094339622642,0.9064150943396226
257,42,0.2953030303030303,0.2578030303030303,0.13166666666666665,-0.030227272727272728,0.358560606060606,0.6647727272727273
72,41,-0.09159999999999999,-0.020200000000000006,0.6598,0.3764,1.0161,0.9240999999999999
