player_id,tournament_id,finish_numeric,true_pos,top_ten,mid_band,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,adj_pos
5532,401353224,64.0,64.0,0,0,0.88,-0.44,-0.8,-0.55,-1.78,-0.9,0.9130434782608695
6017,401353224,53.0,53.0,0,0,-0.36,0.21,0.79,-1.05,-0.04,-0.4,0.7536231884057971
9131,401353224,13.0,13.0,0,1,0.75,1.38,0.17,-0.49,1.01,1.76,0.17391304347826086
4645,401353224,48.0,48.0,0,0,-0.18,0.35,-0.67,0.59,0.28,0.1,0.6811594202898551
1264,401353224,53.0,53.0,0,0,-0.71,0.52,0.01,-0.22,0.31,-0.4,0.7536231884057971
4425906,401353224,60.0,60.0,0,0,-0.68,0.32,-1.18,0.89,0.03,-0.65,0.855072463768116
9025,401353224,5.0,5.0,1,0,1.65,-0.5,1.34,0.1,0.95,2.6,0.057971014492753624
11456,401353224,60.0,60.0,0,0,-0.6,-1.17,0.41,0.71,-0.05,-0.65,0.855072463768116
5574,401353224,48.0,48.0,0,0,0.09,-0.8,1.05,-0.24,0.01,0.1,0.6811594202898551
6701,401353224,37.0,37.0,0,0,0.46,0.27,0.31,-0.43,0.14,0.6,0.5217391304347826
10054,401353224,5.0,5.0,1,0,1.21,1.76,0.53,-0.71,1.55,2.76,0.057971014492753624
10058,401353224,13.0,13.0,0,1,0.73,0.12,1.28,-0.29,1.12,1.85,0.17391304347826086
5882,401353224,32.0,32.0,0,0,-0.48,1.04,-1.0,1.28,1.32,0.85,0.4492753623188406
1483,401353224,26.0,26.0,0,1,0.59,0.7,0.57,-0.51,0.76,1.35,0.36231884057971014
11393,401353224,18.0,18.0,0,1,0.81,-0.99,1.68,0.1,0.79,1.6,0.2463768115942029
6196,401353224,32.0,32.0,0,0,0.26,0.36,-0.2,0.42,0.59,0.85,0.4492753623188406
1680,401353224,31.0,31.0,0,0,1.04,0.81,-0.87,0.13,0.06,1.1,0.43478260869565216
11099,401353224,3.0,3.0,1,0,0.67,-0.57,1.58,1.18,2.18,2.85,0.028985507246376812
10505,401353224,37.0,37.0,0,0,0.7,-0.42,0.61,-0.3,-0.1,0.6,0.5217391304347826
9780,401353224,10.0,10.0,1,0,1.4,0.48,0.72,-0.51,0.7,2.1,0.13043478260869565
5467,401353224,18.0,18.0,0,1,1.26,0.64,-0.67,0.37,0.34,1.6,0.2463768115942029
1030,401353224,37.0,37.0,0,0,-0.28,0.11,0.46,0.3,0.88,0.6,0.5217391304347826
4513,401353224,37.0,37.0,0,0,0.85,-0.52,0.07,0.2,-0.25,0.6,0.5217391304347826
